school,letter,course,class,gender,ethnic,major,tx_hs,grands,parents,emp_on,emp_off,version,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must
UTXW,D,56.6,FR,0,Arab,b,Y,Y,Y,N,N,78,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
ACUP,D,65.3,JR,1,Hisp,a. Sci,Y,Y,Y,N,N,78,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
ACUP,A,92.8,SO,0,White,a. Sci,Y,Y,Y,N,N,78,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4
ACUP,D,66.9,SO,1,Black,d,Y,N,N,Y,N,78,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4
ACUP,F,45.8,FR,1,Hisp,b,Y,DK,DK,Y,N,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
ACUP,B,80.4,SO,0,Hisp,c,Y,DK,Y,Y,Y,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
ACUP,A,92,SO,1,White,b,Y,Y,Y,N,N,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4
TAMSA,B,80,JR,0,Black,b,N,N,N,N,Y,78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4
TAMSA,C,74,JR,0,Hisp,b,Y,N,N,N,N,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
TAMSA,W,NA,SO,0,"Hisp,Black",b,Y,N,Y,N,Y,78,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
TAMSA,F,48,JR,1,Hisp,c,Y,DK,N,N,Y,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
TAMU,A,96.1,SO,0,White,b,Y,Y,Y,N,N,78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
TAMU,D,63.7,FR,0,Hisp,a. Sci,Y,N,Y,N,N,78,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
TAMU,C,72.9,FR,0,"White,Hisp",a. Sci,Y,Y,Y,N,N,78,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4
TAMU,F,47.9,SO,,Hisp,b,Y,N,N,N,N,87,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
TAMU,C,74.8,SO,0,Hisp,a. Sci,Y,N,N,N,N,78,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
TAMU,C,76,FR,0,Hisp,d,Y,N,Y,N,N,87,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4
TAMU,D,62.1,FR,1,White,a. Sci,Y,N,N,N,N,78,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
TAMU,F,53.8,FR,1,Black,b,Y,Y,N,N,N,78,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
TAMU,C,74.9,SO,0,Hisp,b,Y,N,Y,N,Y,78,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
TAMU,C,73.2,SO,0,White,a. Sci,Y,N,Y,N,N,78,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
TAMU,B,87.1,FR,0,White,a. Sci,Y,N,Y,N,N,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4
TAMU,W,NA,FR,1,Hisp,a. Sci,Y,N,N,N,N,87,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
TSU,B,81.6,JR,0,White,a. Sci,Y,Y,Y,N,Y,87,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4
TSU,W,NA,JR,0,White,a. Eng,Y,N,Y,N,Y,87,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
TSU,D,65.2,FR,0,White,b,Y,N,Y,N,N,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
