"course_avg","school","class","gender","ethnicity","parent","grand","hrs_work","emp_on","emp_off","tx_birth","tx_hs","version","must"
81.5,"TAMU","SO","1","Black","Y","Y","0","N","N","Y","Y","v78",16
73.3,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",11
80.1,"TAMU","FR","0","Hisp","Y","Y","0","N","N","Y","Y","v87",14
88.1,"TAMU","FR","1","White","Y","Other","0","N","N","Y","Y","v87",10
56.5,"TAMU","SO","0","White","N","N","0","N","N","Y","Y","v78",3
77.2,"TAMU","JR","0","Hisp","N","N","20-29","N","Y","Y","Y","v78",12
76.8,"TAMU","FR","1","White","Y","Y","0","N","N","Y","N","v87",16
79.3,"TAMU","SO","0","White","Y","Y","1-10","N","Y","Y","Y","v78",17
95.5,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",13
80.4,"TAMU","FR","0","Hisp","Y","Y","0","N","N","Y","Y","v78",17
87.6,"TAMU","SO","1","White","Y","N","11-19","Y","Y","Y","Y","v87",11
72.3,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",13
65,"TAMU","SO","0","White","Y","N","0","N","N","Y","Y","v78",5
80.3,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",11
69.4,"TAMU","FR","1","Mixed","Y","Other","0","N","N","Y","Y","v87",8
97.4,"TAMU","FR","0","Mixed","Y","Y","0","N","N","Y","Y","v78",15
89.1,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",16
91,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",18
88.1,"TAMU","SO","0","White","Y","Y","0","N","N","Y","Y","v78",13
94.3,"TAMU","FR","0","White","Y","N","0","N","N","Y","Y","v87",15
96.2,"TAMU","SO","1","White","Y","Y","0","N","N","Y","Y","v78",9
88.8,"TAMU","FR","0","Other","Y","N","0","N","N","Y","Y","v87",16
93.4,"TAMU","JR","0","White","Y","Y","0","N","N","Y","Y","v78",17
93.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","N","v87",17
92.1,"TAMU","FR","0","Hisp","Y","Y","0","N","N","Y","Y","v78",17
59,"TAMU","FR","missing","Hisp","Y","N","0","N","N","Y","Y","v78",7
69.9,"TAMU","FR","0","Hisp","Y","Y","0","N","N","Y","Y","v78",9
95.1,"TAMU","FR","0","White","Y","N","0","N","N","Y","Y","v78",16
95.5,"TAMU","FR","0","Hisp","Other","Other","0","N","N","Y","N","v78",16
82.4,"TAMU","FR","0","Mixed","Y","Other","0","N","N","Y","Y","v87",8
87,"TAMU","FR","1","Hisp","Y","Y","0","N","N","Y","Y","v87",19
90.4,"TAMU","FR","1","White","Y","Y","1-10","N","Y","Y","Y","v78",13
91,"TAMU","SO","0","White","Y","N","0","N","N","Y","Y","v87",14
93.7,"TAMU","FR","1","White","Y","N","0","N","N","Y","Y","v78",19
96.3,"TAMU","JR","0","White","Y","Y","0","N","N","Y","Y","v78",5
80.9,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",18
90.2,"TAMU","SO","0","Mixed","Y","N","0","N","N","Y","Y","v78",11
88.6,"TAMU","SO","0","White","N","N","0","N","N","Y","Y","v78",5
88.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",9
75.9,"TAMU","FR","0","White","Y","Y","1-10","N","Y","Y","Y","v78",14
70.7,"TAMU","SO","1","White","Y","Y","0","N","N","Y","Y","v87",5
60.6,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",7
47.9,"TAMU","SO","missing","Hisp","N","N","0","N","N","Y","Y","v87",4
96.3,"TAMU","FR","0","Other","Y","Y","0","N","N","Y","Y","v78",19
65.7,"TAMU","FR","0","Hisp","Y","N","0","N","N","Y","Y","v78",10
94.3,"TAMU","SO","1","White","Y","Y","0","N","N","Y","Y","v78",14
82.6,"TAMU","FR","0","Asian","Y","Y","0","N","N","Y","Y","v87",17
78.2,"TAMU","FR","0","Hisp","Y","N","0","N","N","Y","N","v87",11
88.6,"TAMU","FR","0","Hisp","N","N","0","N","N","Y","Y","v78",16
72.6,"TAMU","SO","0","Hisp","N","N","1-10","Y","N","Y","Y","v87",5
72.9,"TAMU","SO","1","Hisp","N","N","11-19","N","Y","Y","Y","v87",12
76,"TAMU","FR","1","Hisp","N","N","1-10","Y","N","Y","Y","v87",17
88.2,"TAMU","FR","1","White","Y","Y","1-10","N","Y","Y","Y","v78",15
56.2,"TAMU","FR","0","Hisp","Y","N","0","N","N","Y","Y","v78",14
88.8,"TAMU","SO","0","Mixed","Y","Other","0","N","N","Y","Y","v87",16
59.8,"TAMU","FR","0","Hisp","N","N","0","N","N","Y","Y","v87",12
95,"TAMU","FR","0","Asian","Y","Y","0","N","N","Y","Y","v78",20
79.7,"TAMU","FR","0","White","Y","Y","1-10","N","Y","Y","Y","v87",15
96.3,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",18
75.3,"TAMU","SO","0","White","Y","Y","0","N","N","Y","Y","v78",12
98.9,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",19
84.5,"TAMU","SO","1","Hisp","N","N","0","N","N","Y","Y","v87",19
78,"TAMU","FR","1","Mixed","N","N","0","N","N","N","Y","v78",14
74.8,"TAMU","SO","0","Hisp","N","N","0","N","N","Y","Y","v78",4
95.9,"TAMU","FR","0","Hisp","Y","Other","0","N","N","Y","Y","v87",15
75.1,"TAMU","FR","1","Hisp","Y","N","0","N","N","Y","Y","v78",14
95,"TAMU","JR","0","Mixed","N","N","0","N","N","Y","Y","v87",16
89.9,"TAMU","JR","0","White","Y","Y","1-10","N","Y","Y","Y","v78",12
92.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","N","v78",14
64.8,"TAMU","FR","0","Hisp","Other","Other","0","N","N","Y","Y","v87",7
75,"TAMU","FR","0","Black","N","N","11-19","N","Y","Y","Y","v87",7
41.9,"TAMU","FR","0","Hisp","N","N","1-10","Y","N","Y","Y","v87",10
87.9,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",14
79.2,"TAMU","FR","0","White","Y","Y","0","N","N","Y","N","v78",15
87.9,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",19
87.4,"TAMU","FR","1","Asian","N","N","0","N","N","Y","Y","v87",18
78.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",12
93.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",15
86.7,"TAMU","SO","0","White","Y","Other","0","N","N","Y","Y","v87",14
85.8,"TAMU","FR","0","White","N","N","0","N","N","Y","Y","v78",9
89.3,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",8
90.6,"TAMU","JR","0","White","Y","Y","0","N","N","Y","Y","v78",7
99.7,"TAMU","FR","1","Other","Y","Y","0","N","N","Y","Y","v78",20
77.7,"TAMU","SO","missing","White","N","N","0","N","N","Y","Y","v78",5
80.7,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",7
75.4,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",17
95.7,"TAMU","FR","missing","White","N","N","0","N","N","Y","Y","v78",13
69.9,"TAMU","SO","1","Hisp","N","N","0","N","N","Y","Y","v78",12
91.9,"TAMU","SO","0","Mixed","Y","N","0","N","N","Y","Y","v87",11
85,"TAMU","FR","0","Hisp","N","N","20-29","Y","N","Y","Y","v87",10
78.6,"TAMU","FR","0","White","Y","N","20-29","N","Y","Y","Y","v87",13
78.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",17
75.7,"TAMU","FR","0","Hisp","N","N","0","N","N","Y","Y","v78",6
93.4,"TAMU","SO","1","White","Y","Y","0","N","N","Y","Y","v87",15
95.1,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",12
70.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",11
82.2,"TAMU","SO","0","White","Y","Other","20-29","Y","N","Y","Y","v78",9
76,"TAMU","FR","0","Hisp","Y","N","0","N","N","Y","Y","v87",4
90,"TAMU","FR","0","White","Y","Y","0","N","N","Y","N","v78",14
87.6,"TAMU","FR","0","White","Y","Other","0","N","Y","Y","Y","v78",11
88,"TAMU","SO","1","Mixed","Y","Other","0","N","N","Y","Y","v78",14
85.5,"TAMU","FR","0","White","Y","N","0","N","N","Y","Y","v78",9
