school,course,class,gender,ethnic,major,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1C,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
UTXWF17CHI128,72.5,FR,0,Hispanic,b,Y,Y,N,N,0,78,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8,0,1,1,0,0,0,1,0,1,1,1,1,7
UTXWF17CHI142,92.8,FR,0,White,,Y,Y,N,N,0,87,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,0,0,1,1,0,1,1,1,9
UTXWF17CHI154,85.7,FR,0,Other,c,Y,Y,N,N,0,87,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,11,1,1,1,1,1,1,1,1,0,1,1,1,11
UTXWF17CHI159,56.6,FR,0,Other,b,Y,Y,N,N,0,78,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,12
UTXWF17CHI162,76.6,FR,0,White,c,Y,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,17,0,1,0,0,0,0,1,0,0,1,0,1,4
ACUPF17CHI007,94.71,FR,0,White,b,DK,Y,N,N,0,87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,17,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI031,93.8,FR,0,White,b,DK,Y,N,N,0,78,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,11,1,1,1,1,1,1,1,0,1,1,1,0,10
ACUPF17CHI069,70.2,SO,0,Hispanic,b,DK,Y,N,N,0,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,3
ACUPF17CHI085,95.54,FR,0,White,b,DK,Y,N,N,0,78,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,7,1,0,1,1,1,0,1,0,1,1,1,1,9
ACUPF17CHI097,86.94,FR,0,White,b,DK,Y,N,N,0,87,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,14,1,1,1,1,1,1,1,1,1,1,1,1,12
ACUPF17CHI101,61.3,SO,0,White,b,DK,Y,N,N,0,78,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7,1,1,0,1,1,1,1,0,0,1,1,0,8
UNTWF17CHI042,94.22404918,FR,0,Black,a. Sci,DK,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,17,1,1,1,1,1,1,1,0,0,1,1,0,9
UTXWF17CHI009,73.3,FR,0,Black,b,Y,N,N,N,0,87,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,9,1,1,1,1,1,0,1,1,1,1,1,1,11
UTXWF17CHI020,87.6,FR,0,Black,b,DK,Y,N,N,0,87,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,9,1,1,1,1,1,1,1,1,0,1,1,1,11
UTXWF17CHI035,84.7,FR,0,Other,b,DK,Y,N,N,0,78,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,12,1,1,0,1,0,1,1,0,1,1,1,0,8
UTXWF17CHI048,94.3,FR,0,Hispanic,b,DK,Y,N,N,0,78,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,16,0,1,1,1,0,0,1,0,0,0,1,1,6
UTXWF17CHI053,93.4,FR,0,Hispanic,b,DK,Y,N,N,0,87,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,12,1,1,1,1,1,1,1,0,0,1,1,1,10
UTXWF17CHI057,85.3,FR,0,Asian,b,DK,Y,N,N,0,87,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,0,1,1,1,1,1,1,1,11
UTXWF17CHI069,95.7,FR,0,Mixed,b,DK,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,14,1,1,1,0,0,1,1,0,0,1,1,1,8
UTXWF17CHI153,101.2,FR,0,White,b,Y,N,N,N,0,78,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,10,0,1,1,0,0,1,1,0,0,1,1,1,7
ACUPF17CHI002,82.9,FR,0,White,b,N,Y,N,N,0,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,9
ACUPF17CHI005,85.7,FR,0,White,b,N,Y,N,N,0,87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,13,1,1,0,1,1,0,1,0,1,1,1,0,8
ACUPF17CHI023,86.58,FR,0,Hispanic,b,N,Y,N,N,0,78,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11
ACUPF17CHI032,92.4,FR,0,Hispanic,b,N,Y,N,N,0,87,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
ACUPF17CHI041,85.2,FR,0,Black,b,N,Y,N,N,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,8
ACUPF17CHI082,68.1,FR,0,Hispanic,b,N,Y,N,N,0,87,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,3
ACUPF17CHI100,42.8,FR,0,Black,b,N,Y,N,N,0,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,0,0,0,1,0,0,0,0,4
UNTWF17CHI044,77.55137559,SO,0,Mixed,a. Sci,N,Y,N,N,0,78,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,12,1,1,0,0,0,1,1,0,0,1,0,1,6
UNTWF17CHI046,96.30182154,SO,0,Hispanic,a. Sci,N,Y,N,N,0,78,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,17,1,1,1,1,1,1,1,0,0,1,1,1,10
UTXWF17CHI029,73.9,FR,0,Hispanic,c,N,Y,N,N,0,87,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,12,1,1,1,1,1,1,1,0,1,1,1,1,11
UTXWF17CHI056,94.1,FR,0,Hispanic,b,N,Y,N,N,0,87,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,12,1,1,0,0,1,0,1,0,1,1,1,1,8
UTXWF17CHI058,99.1,FR,0,White,a. Sci,N,Y,N,N,0,78,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,9,1,1,1,1,0,1,1,1,1,1,1,1,11
