"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"UTXW",76.6,"FR",0,"White","c","Y","Y","N","N","0",78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,17
"ACUP",94.71,"FR",0,"White","b","DK","Y","N","N","0",87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,17
"ACUP",93.8,"FR",0,"White","b","DK","Y","N","N","0",78,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,11
"ACUP",70.2,"SO",0,"Hispanic","b","DK","Y","N","N","0",87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ACUP",95.54,"FR",0,"White","b","DK","Y","N","N","0",78,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,7
"ACUP",86.94,"FR",0,"White","b","DK","Y","N","N","0",87,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,14
"ACUP",61.3,"SO",0,"White","b","DK","Y","N","N","0",78,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7
"UNT",94.22404918,"FR",0,"Black","a. Sci","DK","Y","N","N","0",78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,17
"UTXW",73.3,"FR",0,"Black","b","Y","N","N","N","0",87,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,9
"UTXW",87.6,"FR",0,"Black","b","DK","Y","N","N","0",87,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,9
"UTXW",84.7,"FR",0,"Other","b","DK","Y","N","N","0",78,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,12
"UTXW",94.3,"FR",0,"Hispanic","b","DK","Y","N","N","0",78,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,16
"UTXW",93.4,"FR",0,"Hispanic","b","DK","Y","N","N","0",87,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,12
"UTXW",85.3,"FR",0,"Asian","b","DK","Y","N","N","0",87,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
"UTXW",95.7,"FR",0,"Mixed","b","DK","Y","N","N","0",87,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,14
"UTXW",101.2,"FR",0,"White","b","Y","N","N","N","0",78,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,10
"ACUP",82.9,"FR",0,"White","b","N","Y","N","N","0",87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"ACUP",85.7,"FR",0,"White","b","N","Y","N","N","0",87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,13
"ACUP",86.58,"FR",0,"Hispanic","b","N","Y","N","N","0",78,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,10
"ACUP",92.4,"FR",0,"Hispanic","b","N","Y","N","N","0",87,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,16
"ACUP",85.2,"FR",0,"Black","b","N","Y","N","N","0",78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACUP",68.1,"FR",0,"Hispanic","b","N","Y","N","N","0",87,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6
"ACUP",42.8,"FR",0,"Black","b","N","Y","N","N","0",87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
"UNT",77.55137559,"SO",0,"Mixed","a. Sci","N","Y","N","N","0",78,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,12
