"school","course","class","gender","ethnic","major","tx_birth","tx_hs","emp_on","emp_off","hrs","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","pass","gp_edu","old_must","mult","div","frac","log_exp","chem"
"ACUP",81.9,"SR","0","Black","med","Y","N","N","N","0","87",1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,"NN",5,2,2,2,1,0
"ACUP",92.4,"SO","0","White","med","Y","Y","N","N","0","78",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,"YY",3,1,3,1,0,0
"ACUP",93.1,"FR","1","White","med","Y","Y","N","N","0","78",0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,13,1,"YY",10,2,1,4,4,2
"ACUP",92.2,"FR","0","White","med","Y","Y","N","N","0","87",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,1,"YY",3,0,2,1,0,2
"ACUP",86.9,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,14,1,"N/A",10,3,4,3,4,0
"ACUP",92.4,"SO","1","White","med","Y","Y","N","N","0","87",1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,14,1,"NY",10,3,3,4,2,2
"ACUP",76.8,"FR","1","Hisp","med","Y","Y","N","N","0","87",1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,8,1,"NY",6,3,2,3,0,0
"ACUP",42.8,"FR","0","Black","med","Y","Y","N","N","0","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,"NY",3,1,0,1,0,1
"ACUP",61.3,"SO","0","White","med","Y","Y","N","N","0","78",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7,0,"N/A",4,1,3,1,1,1
"ACUP",96.4,"FR","1","Hisp","med","Y","Y","N","N","0","87",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,1,"YY",14,3,5,3,4,3
"ACUP",84.3,"FR","0","White","med","Y","Y","N","N","0","78",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,1,"YY",5,1,2,0,1,2
"ACUP",70.7,"FR","0","White","med","Y","Y","N","N","0","78",1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,1,"YY",4,2,1,2,0,1
"ACUP",92.5,"FR","1","White","med","Y","Y","N","N","0","78",1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,14,1,"N/A",11,3,3,4,3,1
"ACUP",71.1,"FR","1","Black","stem","Y","Y","N","N","0","87",1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,8,1,"YN",7,1,1,2,2,2
"ACUP",92.9,"FR","1","White","med","Y","Y","N","N","0","78",0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,14,1,"NY",10,1,4,4,3,2
"ACUP",81,"SO","0","White","med","Y","Y","N","N","0","87",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,6,1,"YY",5,1,0,2,1,2
"ACUP",95.3,"FR","1","Other","med","Y","Y","N","N","0","78",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,7,1,"YY",6,2,2,0,1,2
"ACUP",92,"SO","1","White","med","Y","Y","N","N","0","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1,"YY",3,1,0,2,0,1
"TAMSA",65,"SO","1","Hisp","med","Y","Y","N","N","0","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"NN",0,0,0,1,0,0
"TAMSA",66,"SO","0","Hisp","med","Y","N","N","N","0","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"NN",1,1,0,1,0,0
"TAMSA",34,"FR","0","Hisp","other","Y","Y","N","N","0","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"NY",1,1,0,0,0,0
"TAMSA",67,"JR","0","White","stem","Y","Y","N","Y","30-39","87",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,"YY",1,0,0,2,0,0
"TAMSA",76,"JR","0","Hisp","stem","N","Y","N","Y","30-39","87",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,7,1,"NY",6,1,1,1,2,2
"TAMSA",80,"JR","0","Black","med","N","N","N","Y","30-39","78",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,"NN",4,0,1,0,1,2
"TAMSA",85,"SO","0","Hisp","med","Y","Y","Y","N","20-29","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,"NN",1,1,0,1,0,0
"TAMSA",70,"SO","0","Hisp","med","Y","Y","Y","N","0","78",1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,10,0,"N/A",8,3,2,1,3,1
"TAMSA",74,"JR","0","Hisp","med","Y","Y","N","N","0","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,"NN",3,1,0,3,0,0
"TAMSA",94,"FR","0","Mixed","stem","Y","Y","N","N","0","87",1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,8,1,"NN",6,3,1,3,1,0
"TAMSA",109,"FR","1","White","med","Y","Y","N","N","0","78",1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,14,1,"NN",12,3,2,3,4,2
"TAMSA",54,"FR","1","Hisp","med","Y","Y","N","Y","20-29","78",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"NY",3,1,2,0,0,0
"TAMSA",72,"JR","0","White","med","N","N","N","Y","1-10","78",1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,9,1,"N/A",8,3,0,3,1,2
"TAMSA",90,"JR","0","Hisp","med","N","Y","N","Y","30-39","78",1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,9,1,"NN",7,1,3,1,1,3
"TAMSA",48,"JR","1","Hisp","other","N","Y","N","Y","30-39","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,"N/A",3,1,0,3,0,0
"TAMSA",89,"SO","1","Hisp","med","Y","Y","N","Y","11-19","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"NY",1,1,0,0,0,0
"TAMSA",55,"SO","0","Hisp","med","Y","Y","N","Y","1-10","78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"YY",0,0,0,1,0,0
"TAMSA",74,"SO","0","Hisp","stem","Y","Y","N","Y","20-29","78",1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,8,1,"NN",5,1,2,4,1,0
"TAMSA",86,"SR","1","Black","med","Y","Y","N","Y","30-39","87",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,"NN",2,1,0,1,1,0
"TAMU",46.6,"FR","0","Hisp","stem","Y","Y","N","N","0","87",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,"NN",2,1,0,0,1,0
"TAMU",86.8,"FR","1","Mixed","med","Y","Y","N","N","0","87",1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,16,1,"N/A",12,3,5,3,3,2
"TAMU",91,"FR","0","White","stem","Y","Y","N","N","0","87",0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,15,1,"YY",12,1,3,4,4,3
"TAMU",93.2,"FR","1","White","stem","Y","Y","N","N","0","78",1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,17,1,"NY",14,3,4,4,3,3
"TAMU",92.6,"FR","0","White","other","Y","Y","N","N","0","87",0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,16,1,"YY",13,2,3,4,4,3
"TAMU",66.3,"FR","0","Hisp","med","Y","Y","N","N","0","87",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,5,0,"NY",4,0,1,2,1,1
"TAMU",57.2,"FR","0","White","med","Y","Y","N","Y","1-10","78",0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,7,0,"N/A",6,2,0,3,2,0
"TAMU",66.7,"FR","0","Hisp","dual","Y","Y","N","N","0","87",1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,11,0,"NN",10,3,1,0,5,2
